"id продукта";"Шифр продукта";"Название продукта";ед.изм.;"Дата расхода";"Ясли 10,5 к-во";"Ясли 10,5 стоимость";"САД 10,5 к-во";"САД 10,5 стоимость";"Сотрудники к-во";"Сотрудники стоимость";"Всего к-во";"Всего стоимость"
139|20;6101477;"Батон (Хлеб пшеничный)";кг;2020-05-04;0.321;0.57;1.766;3.19;0;0;2.087;3.76
140;616002;"Хлеб ржаной";кг;2020-05-04;0.9;1.19;4.6;6.07;5.3;6.99;10.8;14.25
140;616002;"Хлеб ржаной";кг;2020-05-05;0.84;1.1;6.65;8.78;2.75;3.63;10.24;13.51
140;616002;"Хлеб ржаной";кг;2020-05-06;0.45;0.59;3.8;5.02;2.58;3.4;6.83;9.01
140;616002;"Хлеб ржаной";кг;2020-05-07;0.6;0.8;4.6;6.07;3.83;5.05;9.03;11.92
141;616015;"Кофейный напиток";кг;2020-05-07;0.09;0.38;0.752;3.18;0;0;0.842;3.56
142;616016;Какао;кг;2020-05-05;0.051;0.39;0.368;2.82;0;0;0.419;3.21
142;616016;Какао;кг;2020-05-07;0.072;0.55;0.36;2.76;0;0;0.432;3.31
143;616022;Чай;кг;2020-05-06;0.004;0.04;0.029;0.36;0;0;0.033;0.4
143;616022;Чай;кг;2020-05-07;0;0;0;0;0;0;0;0
143;616022;Чай;кг;2020-05-05;0;0;0.001;0.01;0;0;0.001;0.01
143;616022;Чай;кг;2020-05-04;0.004;0.04;0.021;0.26;0;0;0.025;0.3
145;616042;Соль;кг;2020-05-06;0.075;0.03;0.665;0.3;0.336;0.16;1.076;0.49
145;616042;Соль;кг;2020-05-07;0.1;0.04;0.644;0.3;0.301;0.14;1.045;0.48
145;616042;Соль;кг;2020-05-04;0.09;0.04;0.658;0.31;0.343;0.16;1.091;0.51
145;616042;Соль;кг;2020-05-05;0.08;0.04;0.668;0.31;0.343;0.15;1.091;0.5
146;616054;"Лимонная кислота";кг;2020-05-05;0.004;0.02;0.03;0.21;0;0;0.034;0.23
146;616054;"Лимонная кислота";кг;2020-05-04;0.001;0.01;0.009;0.06;0;0;0.01;0.07
146;616054;"Лимонная кислота";кг;2020-05-06;0.003;0.02;0.029;0.2;0.005;0.03;0.037;0.25
146;616054;"Лимонная кислота";кг;2020-05-07;0;0;0;0;0;0;0;0
222;616056;"Аскорбиновая кислота";кг;2020-05-06;0.001;0.09;0.005;0.44;0;0;0.006;0.53
222;616056;"Аскорбиновая кислота";кг;2020-05-07;0;0;0.005;0.44;0;0;0.005;0.44
222;616056;"Аскорбиновая кислота";кг;2020-05-04;0.001;0.09;0.003;0.26;0;0;0.004;0.35
222;616056;"Аскорбиновая кислота";кг;2020-05-05;0.001;0.08;0.005;0.45;0;0;0.006;0.53
203;666666;Вода;кг;2020-05-07;6.058;0;39.487;0;6.776;0;52.321;0
203;666666;Вода;кг;2020-05-04;9.79;0;49.1;0;7.35;0;66.24;0
203;666666;Вода;кг;2020-05-05;4.791;0;35.38;0;1.152;0;41.323;0
203;666666;Вода;кг;2020-05-06;5.306;0;44.282;0;7.92;0;57.508;0
Детодни;;;;2020-05-04;18;;94;;49;;161;
Детодни;;;;2020-05-05;16;;95;;48;;159;
Детодни;;;;2020-05-06;15;;95;;48;;158;
Детодни;;;;2020-05-07;20;;92;;44;;156;
